assessment_id,practice,outcome,intervention,comparator,conditions,direction,evidence_basis,evidence_ids,target_row_ids,note
cc_soc,+Cover Crops,Soil C,cover crops,no cover crops,Global cropland; source mean sampling depth 22 cm; up to 54 years,increase,quantitative_synthesis,Poeplau_Don_2015_rate,Poeplau_Don_2015_rate,Match sampling depth and time support; the mean is not a universal annual gain.
cc_soc_woody,+Cover Crops,Soil C,inter-row cover,conventional management,"Mediterranean olive, vineyard and almond systems",increase,quantitative_synthesis,VicenteVicente_2016_CC,VicenteVicente_2016_CC.olive;VicenteVicente_2016_CC.vineyard;VicenteVicente_2016_CC.almond,Keep crop-specific rates separate.
cc_n2o,+Cover Crops,N2O,cover crops,no cover crops,"Depends on species, residue management, N rate and observation interval",variable,qualitative_synthesis,Basche_2014_split;Li_2023_covercrops,,Vote counts and variable responses do not define a pooled quantitative target.
cc_n2o_legume,+Cover Crops,N2O,legume cover crops,no cover crops,Specialty crops; source-specific management,increase,qualitative_synthesis,Li_2024_legume_covercrop,,No extracted effect size or uncertainty.
cc_ch4,+Cover Crops,CH4,cover crops,no cover crops,No comparable evidence curated,unresolved,no_comparable_evidence,,,Missing evidence is not evidence of zero effect.
oa_soc,+Non-crop C,Soil C,organic amendment,unamended soil,"Global synthesis; match depth and trial duration, 1-105 years",increase,quantitative_synthesis,Bai_2023_OA_SOC,Bai_2023_OA_SOC,Global mean; climate and amendment subgroups are not a combined California analogue.
oa_soc_olive,+Non-crop C,Soil C,organic amendments,conventional management,Mediterranean olive orchards; rates decline with duration,increase,quantitative_synthesis,VicenteVicente_2016_OA,VicenteVicente_2016_OA,Annual rate is a different estimand from Bai stock LRR.
oa_n2o,+Non-crop C,N2O,straw treatments or biochar at equal C input,no amendment,"Single Chinese cotton experiment, 2017-2018",decrease,single_experiment,Ma_2021_straw_N2O,,Qualitative ranking; not a statewide quantitative benchmark.
oa_ch4,+Non-crop C,CH4,straw treatments or biochar,no amendment,Single Chinese cotton experiment; depends on amendment form,variable,single_experiment,Ma_2021_straw_CH4,,Do not infer a common effect of all non-crop carbon inputs.
rt_soc,Reduced tillage,Soil C,no till,conventional till,MAT 10-20 C; MAP/MAT <40; 0-30 cm; 5-47 years,increase,quantitative_synthesis,Sun_2020_notill_SOC_CAanalog,Sun_2020_notill_SOC_CAanalog,"23 named sites, no California sites; overlapping Urbana labels and climate metadata caveats retained in target notes."
rt_n2o_short,Reduced tillage,N2O,reduced or no till,conventional till,Dry climates; less than 10 years after conversion; area-scaled flux,increase,quantitative_synthesis,VanKessel_2013_dry_short,VanKessel_2013_dry_short,Do not combine with the overlapping overall estimate.
rt_n2o_long,Reduced tillage,N2O,reduced or no till,conventional till,Dry climates; at least 10 years after conversion; area-scaled flux,decrease,quantitative_synthesis,VanKessel_2013_dry_long,VanKessel_2013_dry_long,Different duration class from the short-term target.
rt_n2o_overall,Reduced tillage,N2O,reduced or no till,conventional till,Across climates and adoption ages,unresolved,quantitative_synthesis,VanKessel_2013_overall,VanKessel_2013_overall,Interval spans zero; this does not establish a zero effect.
rt_n2o_li,Reduced tillage,N2O,reduced or no till,conventional till,Global cropland; Li synthesis domain,decrease,quantitative_synthesis,Li_2023_NTRT,Li_2023_NTRT,Alternative synthesis; overlap with other syntheses is not quantified.
rt_ch4,Reduced tillage,CH4,no till,conventional till,Humid and dry temperate systems; uptake enhancement,decrease,quantitative_synthesis,Six_2004_CH4,Six_2004_CH4,Negative signed flux means increased uptake. Outside current rice-only CH4 target scope.
nf_soc,+/- N Fertilization,Soil C,N fertilization,no fertilizer N,"Continuous corn, Minnesota, 30 years; extracted values are corn-derived C",unresolved,no_comparable_evidence,Snyder_2009_Nfert_soilC,,"Total SOC loss slows in source narrative, but the extracted isotopic fraction is not a total-SOC contrast."
nf_ch4,+/- N Fertilization,CH4,N fertilizer or inhibitors,matched untreated control,Non-rice cropland; mixed interventions and comparators,unresolved,no_comparable_evidence,Snyder_2009_Nfert_CH4,,No isolated fertilizer contrast is available.
nf_slope_all_crops_aggregate,+/- N Fertilization,N2O,higher mineral N rate,lower mineral N rate,Crop class: all crops (aggregate); derivative of fertilizer-induced EF versus N rate,increase,quantitative_synthesis,Shcherbak_2014_dEFdN,Shcherbak_2014_dEFdN,Published Table S3; aggregate and subgroups overlap. Select the applicable group; no independent stacking.
nf_slope_upland_grains,+/- N Fertilization,N2O,higher mineral N rate,lower mineral N rate,Crop class: upland grains; derivative of fertilizer-induced EF versus N rate,increase,quantitative_synthesis,Shcherbak_2014_dEFdN,Shcherbak_2014_dEFdN_upland_grains,Published Table S3; aggregate and subgroups overlap. Select the applicable group; no independent stacking.
nf_slope_rice,+/- N Fertilization,N2O,higher mineral N rate,lower mineral N rate,Crop class: rice; derivative of fertilizer-induced EF versus N rate,increase,quantitative_synthesis,Shcherbak_2014_dEFdN,Shcherbak_2014_dEFdN_rice,Published Table S3; aggregate and subgroups overlap. Select the applicable group; no independent stacking.
nf_slope_perennial_grass_or_forage,+/- N Fertilization,N2O,higher mineral N rate,lower mineral N rate,Crop class: perennial grass or forage; derivative of fertilizer-induced EF versus N rate,increase,quantitative_synthesis,Shcherbak_2014_dEFdN,Shcherbak_2014_dEFdN_perennial_grass_or_forage,Published Table S3; aggregate and subgroups overlap. Select the applicable group; no independent stacking.
nf_slope_N_fixing_crops,+/- N Fertilization,N2O,higher mineral N rate,lower mineral N rate,Crop class: N fixing crops; derivative of fertilizer-induced EF versus N rate,increase,quantitative_synthesis,Shcherbak_2014_dEFdN,Shcherbak_2014_dEFdN_N_fixing_crops,Published Table S3; aggregate and subgroups overlap. Select the applicable group; no independent stacking.
nf_slope_non_N_fixing_crops,+/- N Fertilization,N2O,higher mineral N rate,lower mineral N rate,Crop class: non N fixing crops; derivative of fertilizer-induced EF versus N rate,increase,quantitative_synthesis,Shcherbak_2014_dEFdN,Shcherbak_2014_dEFdN_non_N_fixing_crops,Published Table S3; aggregate and subgroups overlap. Select the applicable group; no independent stacking.
nf_level,+/- N Fertilization,N2O,fertilized treatment,zero-N control for induced emissions,"Mediterranean EF level, not a directional practice response",not_applicable,quantitative_synthesis,Cayuela_2017_EFmed,Cayuela_2017_EFmed_target,Use the level operator; positive EF does not measure EF slope.
rice_soc,Flooding / rice,Soil C,flooded rice on peat,drained aerobic cropping,Delta peatland; no matched comparator curated,unresolved,no_comparable_evidence,Kirk_2015_flooded_rice_soilC,,Absolute carbon losses cannot supply a matched stock contrast.
rice_n2o,Flooding / rice,N2O,non-continuous flooding,continuous flooding,Rice season totals; response modified by SOC and manure,increase,quantitative_synthesis,Jiang_2019_N2O_tradeoff,Jiang_2019_N2O_tradeoff,No reported contrast uncertainty curated. Specialty-crop deficit irrigation is not supporting evidence for this contrast.
rice_ch4_dry1,Flooding / rice,CH4,non-continuous flooding,continuous flooding,Rice; 1 drying event,decrease,quantitative_synthesis,Jiang_2019_CH4_dry1,Jiang_2019_CH4_dry1,Use the matched drying class. The >=2 aggregate overlaps the individual multiple-event classes.
rice_ch4_dry2,Flooding / rice,CH4,non-continuous flooding,continuous flooding,Rice; 2 drying events,decrease,quantitative_synthesis,Jiang_2019_CH4_dry2,Jiang_2019_CH4_dry2,Use the matched drying class. The >=2 aggregate overlaps the individual multiple-event classes.
rice_ch4_dry3,Flooding / rice,CH4,non-continuous flooding,continuous flooding,Rice; 3 drying events,decrease,quantitative_synthesis,Jiang_2019_CH4,Jiang_2019_CH4_dry3,Use the matched drying class. The >=2 aggregate overlaps the individual multiple-event classes.
rice_ch4_dry_gt3,Flooding / rice,CH4,non-continuous flooding,continuous flooding,Rice; more than 3 drying events,decrease,quantitative_synthesis,Jiang_2019_CH4,Jiang_2019_CH4_dry_gt3,Use the matched drying class. The >=2 aggregate overlaps the individual multiple-event classes.
rice_ch4_dry_ge2,Flooding / rice,CH4,non-continuous flooding,continuous flooding,Rice; 2 or more drying events,decrease,quantitative_synthesis,Jiang_2019_CH4,Jiang_2019_CH4_dry_ge2,Use the matched drying class. The >=2 aggregate overlaps the individual multiple-event classes.
ap_soc_mean,Annual -> Perennial,Soil C,perennial crops,annual monoculture,Global synthesis at 0-30 cm; mixed stand ages,increase,quantitative_synthesis,Siddique_2023_vs_monoculture,Siddique_2023_vs_monoculture,Aggregate mean cannot be applied to every stand age.
ap_soc_short,Annual -> Perennial,Soil C,perennial crops,annual cropping,Less than 5 years since conversion; source duration subgroup,decrease,qualitative_synthesis,Siddique_2023_time_dependence,Siddique_2023_time_dependence.lt5yr,No numeric short-term estimate curated; do not invent zero.
